 * ABOUT        XMRig/6.25.0 gcc/13.2.1 (built for Linux x86-64, 64 bit)
 * LIBS         libuv/1.51.0 OpenSSL/3.0.16 hwloc/2.12.1
 * HUGE PAGES   supported
 * 1GB PAGES    disabled
 * CPU          AMD EPYC-Milan Processor (1) 64-bit AES VM
                L2:0.5 MB L3:32.0 MB 1C/2T NUMA:1
 * MEMORY       1.3/1.8 GB (73%)
 * DONATE       1%
 * ASSEMBLY     auto:ryzen
 * POOL #1      pool.supportxmr.com:3333 algo auto
 * COMMANDS     'h' hashrate, 'p' pause, 'r' resume, 's' results, 'c' connection
[2026-01-17 21:35:10.283]  config   configuration saved to: "/home/chines/portfolio/xmrig-6.25.0/config.json"
[2026-01-17 21:35:10.392]  net      use pool pool.supportxmr.com:3333  107.167.83.34
[2026-01-17 21:35:10.392]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (60 tx)
[2026-01-17 21:35:10.392]  cpu      use argon2 implementation AVX2
[2026-01-17 21:35:10.401]  msr      cannot read MSR 0xc0011020
[2026-01-17 21:35:10.401]  msr      FAILED TO APPLY MSR MOD, HASHRATE WILL BE LOW
[2026-01-17 21:35:10.401]  randomx  init dataset algo rx/0 (2 threads) seed 98a249447e4800e8...
[2026-01-17 21:35:10.403]  randomx  not enough memory for RandomX dataset
[2026-01-17 21:35:10.403]  randomx  failed to allocate RandomX dataset, switching to slow mode (0 ms)
[2026-01-17 21:35:11.278]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (64 tx)
[2026-01-17 21:35:11.816]  randomx  dataset ready (1413 ms)
[2026-01-17 21:35:11.817]  cpu      use profile  rx  (2 threads) scratchpad 2048 KB
[2026-01-17 21:35:11.819]  cpu      READY threads 2/2 (2) huge pages 0% 0/2 memory 4096 KB (2 ms)
[2026-01-17 21:35:21.464]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (65 tx)
[2026-01-17 21:35:31.525]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (70 tx)
[2026-01-17 21:35:41.530]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (77 tx)
[2026-01-17 21:35:51.889]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (78 tx)
[2026-01-17 21:36:02.206]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (80 tx)
[2026-01-17 21:36:11.981]  miner    speed 10s/60s/15m 33.40 n/a n/a H/s max 34.21 H/s
[2026-01-17 21:36:12.257]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (84 tx)
[2026-01-17 21:36:22.553]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (90 tx)
[2026-01-17 21:36:32.701]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (96 tx)
[2026-01-17 21:36:42.747]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (99 tx)
[2026-01-17 21:36:50.767]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (100 tx)
[2026-01-17 21:36:51.712]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (102 tx)
[2026-01-17 21:36:52.494]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (103 tx)
[2026-01-17 21:36:52.869]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (104 tx)
[2026-01-17 21:36:52.985]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (105 tx)
[2026-01-17 21:36:53.152]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (106 tx)
[2026-01-17 21:37:00.434]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590047 (109 tx)
[2026-01-17 21:37:05.435]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590048 (2 tx)
[2026-01-17 21:37:12.119]  miner    speed 10s/60s/15m 32.66 33.03 n/a H/s max 35.41 H/s
[2026-01-17 21:37:15.673]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590048 (3 tx)
